Journal Title,Publisher,ISSN,ISSN Online,Year Inception,Web Address,Field of Research,ABDC Rating 
Faith and Economics,American Theological Libraries Association ,0896-307X	,	,	,http://www.gordon.edu/ace/ACEFandE.html,1499	,B 
Family Business Review,Sage Publications,0894-4865	,1741-6248	,1988	,http://fbr.sagepub.com/,1503	,A 
Farm and Business - The Journal of the Caribbean Agro-Economic Society,University of Minnesota Department of Applied Economics,1019-035X	,	,1992	,http://ageconsearch.umn.edu/handle/36782,1499	,C 
Federal Law Review,Australian National University ,0067-205X	,	,1964	,http://search.informit.com.au/browseJournalTitle;res=IELHSS;issn=0067-205X,180105	,A* 
Feminist Economics,Taylor & Francis Online,1354-5701	,1466-4372	,1995	,http://www.tandfonline.com/rfec,1402	,A 
Finance,Association Francaise de Finance,0752-6180	,	,1980	,http://www.pug.fr/numrevue6.asp?NumRevue=6,1502	,C 
Finance and Stochastics,Springer International Publishing,0949-2984	,1432-1122	,1996	,http://www.springerlink.com/,1502	,A 
Finance India,Indian Institute of Finance ,0970-3772	,	,1987	,http://www.financeindia.org/fi.htm,1502	,C 
Finance Letters,Global EcoFinance,1740-6242	,	,2003	,,1502	,C 
Finance Research Letters,Elsevier,1544-6123	,	,2004	,http://www.journals.elsevier.com/finance-research-letters,1502	,B 
Financial Accountability and Management,"John Wiley & Sons, Inc.",1468-0408	,0267-4424	,1985	,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-0408,1501	,A 
Financial Analysts Journal,CFA Institute,0015-198X	,1938-3312	,1945	,http://www.cfapubs.org/,1502	,A 
Financial Counseling and Planning,Association for Financial Counseling and Planning Education,1052-3073	,	,1990	,http://journaldatabase.info/journal/issn1052-3073,1502	,C 
Financial Decisions (formerly the Journal of Financial and Strategic Decisions),Financial Decisions Association,0267-4785	,	,	,http://financialdecisionsonline.org/index.html,1502	,C 
Financial History Review,Cambridge University Press,0968-5650	,	,1994	,http://journals.cambridge.org/action/displayJournal?jid=FHR,1502	,B 
Financial Management,"John Wiley & Sons, Inc. ",0046-3892	,1755-053X	,1972	,http://au.wiley.com/WileyCDA/WileyTitle/productCd-FIMA.html,1502	,A 
Financial Markets and Portfolio Management,Springer International Publishing,1934-4554	,1555-497X	,1986	,http://www.springerlink.com/,1502	,B 
"Financial Markets, Institutions and Instruments","John Wiley & Sons, Inc. ",0963-8008	,1468-0416	,1928	,http://au.wiley.com/WileyCDA/WileyTitle/productCd-FMII.html,1502	,B 
Financial Planning Research Journal,Griffith University on behalf of FPA Australia,2206-1355	,	,2015	,griffith.edu.aul/financial-planning-research-journal,1502	,C 
"Financial Reporting, Regulation & Governance*",,1449-2318	,1449-2318	,2004	,,1501	,C 
Financial Review (US),"John Wiley & Sons, Inc.",1540-6288	,1540-6288	,1966	,http://www.wiley.com/bw/journal.asp?ref=0732-8516,1502	,A 
Financial Services Review,Academy of Financial Services - Elsevier,1057-0810	,1873-5673	,1991	,http://academyfinancial.org/financial-services-review/,1502	,B 
Financijska Teorija i Praksa,Institute of Public Finance,1332-3970	,1333-9354	,1977	,http://hrcak.srce.hr/,1402	,C 
Finanzarchiv,Mohr Siebeck GmbH & Co. KG,0015-2218	,	,1884	,http://www.mohr.de/en/journals/economics/finanzarchiv-fa/journal.html,1502	,B 
Finnish Economic Papers,Finnish Society for Economic Research,0784-5197	,	,1988	,http://taloustieteellinenyhdistys.fi/julkaisut/fep.html,1402	,B 
First Monday,University of Illinois Press,1396-0466	,1396-0458	,1996	,http://firstmonday.org/index,806	,B 
Fiscal Studies,"John Wiley & Sons, Inc.",0143-5671	,1475-5890	,1979	,http://www.wiley.com/,1402	,B 
FIU Hospitality Review,Florida International University ,0739-7011	,	,1983	,http://digitalcommons.fiu.edu/hospitalityreview/,1504	,C 
Food Policy,Elsevier ,0306-9192	,1873-5657	,1975	,http://www.journals.elsevier.com/food-policy,1402	,B 
Food Quality and Preference,Elsevier,0950-3293	,	,2011	,http://www.journals.elsevier.com/food-quality-and-preference,1505	,A 
Fordham Journal of Corporate & Financial Law,,1532-303X	,	,1996	,http://ir.lawnet.fordham.edu/jcfl/,180105	,B 
Foreign Affairs,Council on Foreign Relations,0015-7120	,1665-1707	,1910	,https://www.foreignaffairs.com,1599	,A* 
Foreign Policy (Washington),"National Affairs, Inc. ",0015-7228	,1945-2276	,1971	,http://foreignpolicy.com/,1599	,A* 
Foresight: the international journal of applied forecasting,International Institute of Forecasters,1555-9068	,1559-9434	,2005	,http://forecasters.org/foresight/index.html,1503	,C 
Forest Policy and Economics,Elsevier,1389-9341	,1872-7050	,2000	,http://www.journals.elsevier.com/forest-policy-and-economics,1402	,C 
Forum for Health Economics and Policy,De Gruyter,1558-9544	,	,1998	,http://www.degruyter.com/view/j/fhep,1499	,C 
Forum for Social Economics,Springer International Publishing,0736-0932	,1874-6381	,1975	,http://www.springerlink.com/,1402	,C 
Forum of International Development Studies,Nagoya University,1341-3732	,	,1994	,http://ci.nii.ac.jp/,1499	,B 
Foundations and Trends in Accounting,Now Publishers,1554-0642	,1554-0650	,	,http://www.nowpublishers.com/acc,1501	,A 
Foundations and Trends in Econometrics,Now Publishers,1551-3076	,1551-3084	,2005	,http://www.nowpublishers.com/,1403	,C 
Foundations and Trends in Entrepreneurship,Now Publishers,1551-3114	,1551-3122	,2005	,http://www.nowpublishers.com/,1503	,C 
Foundations and Trends in Finance,Now Publishers,1930-8248	,1930-8256	,2005	,http://www.nowpublishers.com/,1502	,B 
Foundations and Trends in Microeconomics,Now Publishers,1547-9846	,1547-9854	,2005	,http://www.nowpublishers.com/,1402	,C 
Frontiers in Finance and Economics,Cambridge Scholars Publishing,1814-2044	,	,2004	,https://ffejournal.wordpress.com/,1502	,C 
Frontiers of Economics in China:  selected publications from Chinese universities,Springer International Publishing,1673-3444	,1673-3568	,2006	,http://journal.hep.com.cn/fec/EN/1673-3444/current.shtml,1402	,C 
Futures,Elsevier,0016-3287	,1873-6378	,1968	,http://www.journals.elsevier.com/futures/,1503	,B 
Fuzzy Economic Review: review of the International Association for Fuzzy-set Management and Economy,International Association for Fuzzy-Set Management and Economy,1136-0593	,	,1995	,http://www.proquest.co.uk/en-UK/,1402	,C 
Gambling Research,National Association for Gambling Studies,1832-4975	,	,	,http://search.informit.com.au/browseJournalTitle;res=IELHSS;issn=1832-4975,1504	,C 
Games,"Molecular Diversity Preservation International (MDPI), Switzerland",2073-4336	,	,2010	,http://www.mdpi.com/journal/games,1401	,B 
Games and Economic Behavior,Elsevier ,0899-8256	,1090-2473	,1989	,http://www.journals.elsevier.com/games-and-economic-behavior/,1401	,A* 
Gender and Education,Taylor & Francis Online,0954-0253	,1360-0516	,1989	,http://www.tandfonline.com/cgee,1503	,A 
Gender and Society,Sage Publications,0891-2432	,1552-3977	,1987	,http://gas.sagepub.com/,1503	,A* 
Gender in Management: an international journal,Emerald Group Publishing,1754-2413	,1754-2421	,1985	,http://www.emeraldinsight.com/journal/gm,1503	,C 
"Gender, Work and Organization","John Wiley & Sons, Inc.",0968-6673	,1468-0432	,1994	,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-0432,1503	,A 
German Economic Review,"John Wiley & Sons, Inc.",1465-6485	,1468-0475	,2000	,https://authorservices.wiley.com/bauthor/Aims_scope.asp?ref=1465-6485&site=1,1402	,B 
German Journal of Agricultural Economics,Diva Enterprises Pvt. Ltd. ,0002-1121	,	,1952	,http://www.gjae-online.de/,1499	,C 
Global Business and Finance Review,Indiana State University,1088-6931	,1088-6931	,1996	,http://www.montclair.edu/,1503	,C 
Global Business Economics Review,Inderscience Enterprises Ltd.,1097-4954	,1745-1329	,2005	,http://www.inderscience.com/,1402	,C 
Global Business Review,Sage Publications,0972-1509	,1940-1558	,2000	,http://www.sagepub.com/,1503	,C 
Global Economic Review,Taylor & Francis Online,1226-508X	,1744-3873	,1973	,http://www.tandfonline.com/rger,1402	,C 
Global Economy Journal,Walter de Gruyter GmbH,1553-5304	,	,2000	,http://www.bepress.com/,1402	,B 
Global Environmental Change,Elsevier ,0959-3780	,	,	,http://www.journals.elsevier.com/global-environmental-change,1599	,A* 
Global Environmental Politics,MIT Press,1526-3800	,1536-0091	,2000	,http://www.mitpressjournals.org/loi/glep,1599	,C 
Global Finance Journal,Elsevier,1044-0283	,1873-5665	,1989	,http://www.journals.elsevier.com/global-finance-journal,1502	,B 
Global Governance,Lynne Rienner Publisher ,1075-2846	,1942-6720	,1995	,http://www.rienner.com/,1503	,B 
Global Networks,"John Wiley & Sons, Inc.",1470-2266	,1471-0374	,2001	,https://authorservices.wiley.com/bauthor/Aims_scope.asp?ref=1470-2266&site=1,1503	,A 
Global Perspectives on Accounting Education,Bryant University,1543-2955	,	,2003	,http://gpae.bryant.edu/~gpae/index.html,1501	,C 
Global Social Policy,Sage Publications,1468-0181	,1741-2803	,2001	,http://gsp.sagepub.com/,1503	,C 
Global Strategy Journal,"John Wiley & Sons, Inc.",2042-5791	,2042-5805	,	,"http://au.wiley.com/WileyCDA/WileyTitle/productCd-GSJ,subjectCd-BA1A.html",1503	,A 
Gospodarka Narodowa,"Instytut Gospodarki Narodowej, Warsaw ",0867-0005	,	,1946	,,1402	,C 
Greek Economic Review,Papazisis Press - Society for Economic Research,1010-9994	,	,1979	,,1402	,C 
Greener Management International,Greenleaf Publishing ,0966-9671	,2051-3062	,1993	,http://www.greenleaf-publishing.com/,1503	,C 
Griffith Law Review,Griffith University,1038-3441	,	,1992	,http://www.tandfonline.com/rlaw,180105	,C 
Group Decision and Negotiation,Springer International Publishing,0926-2644	,1572-9907	,1992	,http://springerlink.metapress.com/,806	,A 
"Group Dynamics: theory, research and practice",American Psychological Association ,1089-2699	,1930-7802	,1997	,http://www.apa.org/pubs/journals/gdn/index.aspx,1503	,B 
Group Organization Management: an international journal,Sage Publications,1059-6011	,1552-3993	,1976	,http://www.sagepub.com/,1503	,A 
Group Processes and Intergroup Relations,Sage Publications,1368-4302	,1461-7188	,1998	,http://gpi.sagepub.com/,1503	,B 
Growth and Change: a journal of urban and regional policy,"John Wiley & Sons, Inc.",0017-4815	,1468-2257	,1970	,http://www.wiley.com/bw/journal.asp?ref=0017-4815,1402	,B 
Habitat International,Elsevier ,0197-3975	,1873-5428	,1976	,http://www.journals.elsevier.com/habitat-international,1504	,A 
Harvard Business Review,Harvard University,0017-8012	,0017-8012	,1922	,http://hbr.harvardbusiness.org/,1503	,A 
Harvard Environmental Law Review,Harvard Environmental Law Review,0147-8257	,	,1976	,http://www.heinonline.org/,180105	,A 
Harvard International Law Journal,Harvard International Law Club,0017-8063	,	,1959	,http://www.abe.pl/en/journal/1825/harvard-international-law-journal,180105	,A 
Harvard Journal of Law and Public Policy,Harvard Society for Law and Public Policy,0193-4872	,	,1978	,http://www.harvard-jlpp.com/,180105	,A 
Harvard Journal of Law and Technology,Harvard Journal of Law & Technology,0897-3393	,	,1988	,http://www.globethics.net/web/harvard-journal-of-law-and-technology/journal-overview,180105	,A 
Harvard Law Review,Harvard Law Review Publishing Association,0017-811X	,	,1887	,http://harvardlawreview.org/ordering/,180105	,A* 
Hastings Business Law Journal,University of California Press,1554-849X	,1554-8503	,2005	,http://www.heinonline.org/,180105	,B 
Health Care Management Review,"Wolters Kluwer Health, Inc. ",0361-6274	,1550-5030	,1976	,http://journals.lww.com/hcmrjournal/Pages/default.aspx,1503	,A 
Health Care Management Science,Springer International Publishing,1386-9620	,1572-9389	,1998	,http://www.springerlink.com/,1503	,C 
Health Communication,Taylor & Francis Online,1041-0236	,1532-7027	,1989	,http://www.tandfonline.com/hhth,1503	,B 
Health Economics,"John Wiley & Sons, Inc.",1057-9230	,1099-1050	,1992	,http://au.wiley.com/WileyCDA/WileyTitle/productCd-HEC.html,1402	,A* 
Health Economics Review,Springer International Publishing,2191-1991	,2191-1991	,2011	,http://www.healtheconomicsreview.com/,1402	,C 
"Health Economics, Policy and Law",Cambridge University Press,1744-1331	,1744-134X	,2006	,http://journals.cambridge.org/,1402	,B 
Health Informatics Journal,Sage Publications,1460-4582	,1741-2811	,1992	,http://jhi.sagepub.com/,806	,C 
Health Marketing Quarterly,Taylor & Francis Online,0735-9683	,1545-0864	,1978	,http://www.tandfonline.com/whmq,1505	,B 
Health Policy,Elsevier ,0168-8510	,1872-6054	,1984	,http://www.journals.elsevier.com/health-policy/,1402	,B 
Health Policy and Technology,Elsevier ,2211-8837	,2211-8845	,	,,806	,B 
Health Promotion International,Oxford,1460-2245	,	,2011	,http://heapro.oxfordjournals.org,1505	,A 
"Health Services and Outcomes Research Methodology: an international journal devoted to quantitative methods for the study of the utilization, quality, cost and outcomes of health care",Springer International Publishing,1387-3741	,1572-9400	,1999	,http://www.springerlink.com/,1503	,C 
Health Services Management Research,Sage Publications,0951-4848	,1758-1044	,1988	,http://hsm.sagepub.com/,1503	,C 
Health Services Research,"John Wiley & Sons, Inc.",0017-9124	,1475-6773	,1965	,"http://au.wiley.com/WileyCDA/WileyTitle/productCd-HESR,subjectCd-HE06.html",1503	,A 
Higher Education Quarterly,"John Wiley & Sons, Inc.",0951-5224	,1468-2273	,1946	,"http://au.wiley.com/WileyCDA/WileyTitle/productCd-HEQU,subjectCd-ED21.html",1503	,B 
"Higher Education, Skills and Work-based Learning ",Emerald Group Publishing,2042-3896	,2042-390X	,2011	,http://www.emeraldinsight.com/products/journals/journals.htm?id=heswbl,1503	,C 
Higher Education: the international journal of higher education research,Springer International Publishing,0018-1560	,1573-174X	,1971	,http://www.springerlink.com/,1503	,A 
Historical Materialism: research in critical Marxist theory,Brill,1465-4466	,1569-206X	,1997	,http://booksandjournals.brillonline.com/content/journals/1569206x,1401	,C 
Historical Studies in Industrial Relations,Liverpool University Press,1362-1572	,2049-4459	,1996	,http://www.liverpooluniversitypress.co.uk/index.php?option=com_content&view=article&id=85%3Ahistorical-studies-in-industrial-relations&catid=8&Itemid=21,1503	,C 
History of Economic Ideas,Fabrizio Serra Editore,1122-8792	,1724-2169	,1982	,http://www.historyofeconomicideas.com/,1499	,B 
History of Economic Thought and Policy,Franco Angeli Edizioni,2240-9971	,2280-188X	,2004	,http://www.francoangeli.it/riviste/sommario.asp?idrivista=121&lingua=en,1499	,C 
History of Economics Review,Australian National University ,1037-0196	,	,1981	,http://www.tandfonline.com/rher,1401	,B 
History of Political Economy,Duke University Press,0018-2702	,1527-1919	,1969	,http://hope.dukejournals.org/,1401	,A 
Hitotsubashi Journal of Economics,Hitotsubashi University,0018-280X	,	,1960	,http://www.econ.hit-u.ac.jp/~koho/english/research/journal.html,1402	,B 
Homo Oeconomicus,Springer International Publishing,0943-0180	,2366-6161	,1983	,http://link.springer.com/journal/41412,1402	,C 
Hong Kong Law Journal,Thomson Reuters,0378-0600	,	,1971	,http://www.law.hku.hk/hklj/index.php,180105	,A 
Hospitality & Society,Intellect,2042-7921	,	,2011	,"http://www.intellectbooks.co.uk/journals../view-Journal,id=194/",1504	,C 
Housing Policy Debate,Taylor & Francis Online,1051-1482	,2152-050X	,1990	,http://www.psc.isr.umich.edu/dis/infoserv/journal/detail/1064,1503	,B 
Housing Studies,Taylor & Francis Online,0267-3037	,1466-1810	,1986	,http://www.tandfonline.com/chos,1504	,A 
Houston Business and Tax Law Journal,University of Houston Law Center,1543-2602	,	,2001	,http://heinonline.org/,180125	,C 
HRFocus (Formerly HRFocus: the hands-on tool for human resources professionals),Bloomberg BNA,1059-6038	,1945-5089	,1919	,http://www.bna.com/hrfocus-10542/,1503	,C 
Human Communication Research,"John Wiley & Sons, Inc.",0360-3989	,1468-2958	,1974	,"http://au.wiley.com/WileyCDA/WileyTitle/productCd-HCRE,subjectCd-CO35.html",1503	,A 
Human IT,"University College of Boras, Sweden",1402-1501	,1402-151X	,1997	,http://etjanst.hb.se/bhs/ith/humanit.htm,806	,B 
Human Performance,Taylor & Francis Online,0895-9285	,1532-7043	,1988	,http://www.tandfonline.com/hhup,1503	,A 
Human Relations,Sage Publications,0018-7267	,1741-282X	,1947	,http://hum.sagepub.com/,1503	,A* 
Human Resource Development International,Taylor & Francis Online,1367-8868	,1469-8374	,1998	,http://www.tandfonline.com/rhrd,1503	,B 
Human Resource Development Quarterly,"John Wiley & Sons, Inc.",1044-8004	,1532-1096	,1990	,http://www.josseybass.com/WileyCDA/WileyTitle/productCd-HRDQ.html,1503	,B 
Human Resource Development Review,Sage Publications,1534-4843	,1552-6712	,2002	,http://www.sagepub.com/,1503	,B 
Human Resource Management (US),"John Wiley & Sons, Inc. ",0090-4848	,1099-050X	,1961	,http://au.wiley.com/,1503	,A* 
Human Resource Management International Digest,Emerald Group Publishing,0967-0734	,1758-7166	,1993	,http://www.emeraldinsight.com/loi/hrmid,1503	,C 
Human Resource Management Journal (UK),"John Wiley & Sons, Inc.",0954-5395	,1748-8583	,1988	,http://www.wiley.com/,1503	,A 
Human Resource Management Review,Elsevier,1053-4822	,1873-7889	,1991	,http://www.journals.elsevier.com/human-resource-management-review,1503	,A 
Human Systems Management,IOS Press,0167-2533	,1875-8703	,1980	,http://www.iospress.nl/,1503	,C 
Human-Computer Interaction,Taylor & Francis Online,0737-0024	,1532-7051	,1985	,http://www.tandfonline.com/hhci,806	,A 
Humanomics,Emerald Group Publishing,0828-8666	,1758-7174	,1984	,http://www.emeraldinsight.com/loi/h,1503	,C 
IATSS Research,Elsevier ,0386-1112	,	,1977	,http://www.journals.elsevier.com/iatss-research/,1507	,C 
IBM Systems Journal,International Business Machines (IBM) Corp.,0018-8670	,	,	,http://ieeexplore.ieee.org/xpl/RecentIssue.jsp?reload=true&punumber=5288519&cm_mc_uid=84651411038414727177413&cm_mc_sid_50200000=1472717741,806	,A 
ICSID Review: foreign investment law journal,Oxford University Press,0258-3690	,	,1986	,http://icsidreview.oxfordjournals.org,180105	,C 
IEEE Transactions on Intelligent Transportation Systems,Institute of Electrical and Electronics Engineers,1524-9050	,1558-0016	,2000	,http://ieeexplore.ieee.org/,1507	,A 
IEEE Transactions on Professional Communication,Institute of Electrical and Electronics Engineers,0361-1434	,1558-1500	,1958	,http://ieeexplore.ieee.org/,806	,B 
IEEE Transactions on Vehicular Technology,Institute of Electrical and Electronics Engineers,0018-9545	,1939-9359	,1967	,http://ieeexplore.ieee.org/,1507	,A 
IIC International Review of Intellectual Property and Competition Law,Springer International Publishing,0018-9855	,2195-0237	,1969	,http://www.springer.com/law/international/journal/40319,180105	,A 
IIE Transactions,Taylor & Francis Online,0740-817X	,1545-8830	,1969	,http://www.tandfonline.com/loi/uiie20,1503	,A 
IIMB Management Review,Elsevier,0970-3896	,2212-4446	,1986	,http://www.elsevier.com/wps/find/journaldescription.cws_home/723616/description#description,1503	,B 
IMA Educational Case Journal,"Institute of Management Accountants, Inc. ",	,1940-204X	,	,http://www.imanet.org/resources-publications/ima-educational-case-journal-(iecj),1501	,C 
IMF Economic Review,Palgrave Macmillan,2041-4161	,	,2011	,http://socrates.berkeley.edu/~pog/,1402	,A 
Impact Assessment and Project Appraisal,Taylor & Francis Online,1461-5517	,1471-5465	,1998	,http://www.tandfonline.com/loi/tiap20#.V48ywFfwzBI,1503	,C 
Indian Economic Journal,"Indian Economic Association, New Delhi",0019-4662	,	,1953	,http://iej.sagepub.com/,1402	,C 
Indian Economic Review,"University of Delhi, School of Economics",0019-4670	,	,1952	,,1402	,C 
Indian Growth and Development Review,Emerald Group Publishing,1753-8254	,1753-8262	,2008	,http://www.emeraldinsight.com/loi/igdr,1402	,B 
Indian Journal of Economics,Diva Enterprises Pvt. Ltd. ,0019-5170	,	,1916	,http://www.indianjournalofeconomics.com/,1402	,C 
Indian Journal of Economics and Business,Serials Publications,0972-5784	,	,2002	,http://www.serialsjournals.com/journal-detail.php?journals_id=16,1402	,C 
Indian Journal of Gender Studies,Sage Publications,0971-5215	,1940-0306	,1983	,http://www.indiasage.com/,1503	,C 
Indian Journal of Industrial Relations,Shri Ram Centre for IR & HR,0019-5286	,0019-5286	,1964	,http://www.publishingindia.com/ijir/,1503	,C 
Indian Journal of Labour Economics,Springer International Publishing,0971-7927	,0019-5308	,1958	,http://www.springer.com/economics/labor/journal/41027,1402	,C 
Indonesian Management and Accounting Research,Elsevier ,1411-8858	,	,	,http://www.sciencedirect.com/science/article/pii/S1877042813052440,1501	,C 
Industrial and Corporate Change,Oxford University Press ,0960-6491	,1464-3650	,1992	,http://icc.oxfordjournals.org/,1503	,A 
Industrial and Labor Relations Review,Sage Publications,0019-7939	,2162-271X	,1947	,http://ilr.sagepub.com,1503	,A* 
Industrial and Organizational Psychology: perspectives on science & practice,"John Wiley & Sons, Inc.",1754-9426	,1754-9434	,2008	,https://authorservices.wiley.com/bauthor/Aims_scope.asp?ref=1754-9426&site=1,1503	,B 
Industrial Law Journal,Oxford University Press ,0305-9332	,1464-3669	,1972	,http://ilj.oxfordjournals.org/,180105	,A 
Industrial Marketing Management,Elsevier ,0019-8501	,1873-2062	,1971	,http://www.journals.elsevier.com/industrial-marketing-management,1505	,A* 
Industrial Relations Journal,"John Wiley & Sons, Inc.",0019-8692	,1468-2338	,1970	,http://www.wiley.com/,1503	,A 
Industrial Relations: a journal of economy and society,"John Wiley & Sons, Inc.",0019-8676	,1468-232X	,1961	,http://www.wiley.com/,1503	,A* 
Industry and Higher Education,Sage Publishing,0950-4222	,2043-6858	,1987	,https://au.sagepub.com/en-gb/oce/industry-and-higher-education/journal202558,1503	,C 
Industry and Innovation,Taylor & Francis Online,1366-2716	,1469-8390	,1993	,http://www.tandfonline.com/ciai,1503	,C 
info,Emerald Group Publishing,1463-6697	,1465-9840	,1999	,http://www.emeraldinsight.com/loi/info,806	,B 
INFOR (INFOR: Information Systems and Operational Research),Taylor & Francis Online,0315-5986	,1916-0615	,1963	,http://www.tandfonline.com/loi/tinf20#.V33l7aKMz3U,806	,B 
Informatics for Health and Social Care,Taylor & Francis Online,1753-8157	,1753-8165	,	,http://www.tandfonline.com/imif,806	,C 
Information - Knowledge - Systems Management,IOS Press,1389-1995	,1875-8762	,1999	,http://www.iospress.nl/journal/information-knowledge-systems-management/,806	,C 
Information and Communications Technology Law,Taylor & Francis Online,1360-0834	,1469-8404	,1992	,http://www.tandfonline.com/cict,806	,C 
Information and Computation,Elsevier ,0890-5401	,1090-2651	,1957	,http://www.journals.elsevier.com/information-and-computation/,806	,B 
Information and Management,Elsevier ,0378-7206	,1872-7530	,1968	,http://www.journals.elsevier.com/information-and-management/,806	,A* 
Information and Organization,Elsevier,1471-7727	,1873-7919	,1991	,http://www.journals.elsevier.com/information-and-organization/,806	,A* 
Information and Software Technology,Elsevier ,0950-5849	,1873-6025	,1959	,http://www.journals.elsevier.com/information-and-software-technology,806	,A 
Information Economics and Policy,Elsevier ,0167-6245	,1873-5975	,1984	,http://www.journals.elsevier.com/information-economics-and-policy,1402	,A 
Information Management and Computer Security,Emerald Group Publishing,0968-5227	,1758-5805	,1992	,http://www.emeraldinsight.com/loi/imcs,806	,C 
Information Processing and Management,Elsevier ,0306-4573	,1873-5371	,1963	,http://www.journals.elsevier.com/information-processing-and-management/,806	,B 
Information Processing Letters,Elsevier ,0020-0190	,1872-6119	,1971	,http://www.journals.elsevier.com/information-processing-letters,806	,C 
Information Resources Management Journal,IGI Global,1040-1628	,1533-7979	,1988	,http://www.igi-global.com/journal/information-resources-management-journal-irmj/1073,806	,C 
Information Retrieval,Springer International Publishing,1386-4564	,1573-7659	,1998	,http://www.springerlink.com/,806	,C 
Information Systems and e-Business Management,Springer International Publishing,1617-9846	,1617-9854	,2002	,http://www.springerlink.com/,806	,B 
Information Systems Frontiers,Springer International Publishing,1387-3326	,1572-9419	,1999	,http://www.springerlink.com/,806	,A 
Information Systems Journal,"John Wiley & Sons, Inc.",1350-1917	,1365-2575	,1991	,http://au.wiley.com/WileyCDA/WileyTitle/productCd-ISJ.html,806	,A* 
Information Systems Management,Taylor & Francis Online,1058-0530	,1934-8703	,1983	,http://www.tandfonline.com/toc/uism20/current,806	,B 
Information Systems Research,The Institute for Operations Research and the Management Sciences (INFORMS),1047-7047	,1526-5536	,1990	,http://pubsonline.informs.org/journal/isre,806	,A* 
Information Technology & Tourism,Springer International Publishing,1098-3058	,1943-4294	,1998	,http://www.springer.com/business+%26+management/business+information+systems/journal/40558,1506	,B 
Information Technology and Libraries,Library and Information Technology Association,0730-9295	,	,1968	,http://ejournals.bc.edu/ojs/index.php/ital/index,806	,C 
Information Technology and Management,Springer International Publishing,1385-951X	,1573-7667	,	,http://www.springer.com/business+%26+management/business+information+systems/journal/10799,806	,B 
Information Technology and People,Emerald Group Publishing,0959-3845	,1758-5813	,1982	,http://www.emeraldinsight.com/loi/itp,806	,A 
Information Technology for Development,,0268-1102	,1554-0170	,	,http://www.tandfonline.com/action/journalInformation?journalCode=titd20#.V00tBo1JlYc,806	,B 
Information Technology Management,IGI Global,1080-286X	,	,1988	,http://www.igi-pub.com/,806	,B 
Information Visualization,Sage Publications,1473-8716	,1473-8724	,	,http://ivi.sagepub.com/,806	,C 
"Information, Communication and Society",,1369-118X	,1468-4462	,1998	,http://www.tandfonline.com/toc/rics20/current#.VMa1xvldVPM,806	,A 
"Information, Communication and Society",,1369-118X	,1468-4462	,1998	,http://www.tandfonline.com/toc/rics20/current#.VMa1xvldVPM,806	,A 
INFORMS Journal on Computing,The Institute for Operations Research and the Management Sciences (INFORMS),1091-9856	,1526-5528	,1989	,http://pubsonline.informs.org/journal/ijoc,806	,B 
Innovation (Abingdon): the European journal of social sciences,Taylor & Francis Online,1351-1610	,1469-8412	,1988	,http://www.tandfonline.com/ciej,1503	,B 
Innovation Policy and the Economy,The University of Chicago Press,1531-3468	,1537-2618	,2001	,http://www.press.uchicago.edu/ucp/journals/journal/ipe.html,1402	,B 
"Innovation: Management, Policy and Practice: the international journal for innovation research, commercialization, policy analysis and best practice",Taylor & Francis Online,1447-9338	,1447-9338	,1998	,http://www.tandfonline.com/toc/rimp20/current#.V48RXVfwzBI,1503	,C 
Insolvency Law Bulletin,LexisNexis Butterworths,1443-9662	,	,2008	,http://www.lexisnexis.com.au/,180105	,C 
Insolvency Law Journal,Thomson Reuters,1039-3293	,	,1993	,http://legalonline.thomson.com.au/jour/,180105	,A 
Insurance and Reinsurance Law Briefing,Sweet & Maxwell ,1743-4009	,	,1996	,http://www.sweetandmaxwell.co.uk/,180105	,C 
Insurance Law Journal,LexisNexis,1030-2379	,	,1988	,http://www.lexisnexis.com/au/legal/,180105	,A 
Insurance: Mathematics and Economics,Elsevier ,0167-6687	,1873-5959	,1982	,http://www.journals.elsevier.com/insurance-mathematics-and-economics/,1502	,A 
Intellectual Property Journal,Carswell,0824-7064	,	,1984	,http://www.carswell.com/product-detail/intellectual-property-journal/,180105	,A 
Intellectual Property Law Bulletin,University of San Francisco,1554-9607	,	,1996	,http://www.heinonline.org/,180105	,C 
Intellectual Property Quarterly,Sweet & Maxwell ,1364-906X	,	,1997	,http://www.sweetandmaxwell.co.uk/,180105	,C 
Interacting with Computers,Elsevier ,0953-5438	,	,1989	,http://www.sciencedirect.com/science/journal/09535438,806	,C 
Interdisciplinary Environmental Review,Inderscience Enterprises Ltd.,1521-0227	,2042-6992	,1999	,http://www.inderscience.com/jhome.php?jcode=ier,1599	,C 
Intereconomics: review of European economic policy,Springer International Publishing,0020-5346	,1613-964X	,1966	,http://www.springerlink.com/,1402	,C 
Interfaces,The Institute for Operations Research and the Management Sciences (INFORMS),0092-2102	,1526-551X	,1971	,http://pubsonline.informs.org/journal/inte,806	,B 
Internal Auditing,Thomson Reuters,0897-0378	,	,1986	,http://store.tax.thomsonreuters.com/accounting/Finance/Internal-Auditing/p/100201298,1501	,C 
International Advances in Economic Research,Springer International Publishing,1083-0898	,1573-966X	,1995	,http://www.springerlink.com/,1402	,C 
