Journal Title,Publisher,ISSN,ISSN Online,Year Inception,Web Address,Field of Research,ABDC Rating 
Acta Turistica,"University of Zagreb, Faculty of Economics and Business",0353-4316	,	,1989	,http://www.efzg.unizg.hr/default.aspx?id=6555,1506	,C 
"Acta Universitatis Bohemiae Meridionales: vedecky casopis pro ekonomiku, rizeni a obchod",Acta Universitatis,1212-3285	,	,1998	,http://ojs.ef.jcu.cz/acta/,1402	,C 
Action Learning and Action Research Journal,ALARA Association Inc.,1326-964X	,1326-964X	,1996	,http://journals.sfu.ca/alara/index.php/alarj/,1503	,C 
Action Research International,Southern Cross University Press,1445-6125	,1445-6125	,1998	,http://www.aral.com.au/ari/arihome.html,1503	,A 
Active Learning in Higher Education,Sage Publications,1469-7874	,1741-2625	,2000	,http://alh.sagepub.com/,1503	,C 
Actuarial Research Clearinghouse,Committee on Research of the Society of Actuaries,0732-5428	,	,2004	,http://www.soa.org/,1502	,C 
Adelaide Law Review,University of Adelaide ,0065-1915	,	,1960	,http://search.informit.com.au/browseJournalTitle;res=IELHSS;issn=0065-1915,180105	,A 
Administration and Society,Sage Publications,0095-3997	,1552-3039	,1969	,http://aas.sagepub.com/,1503	,B 
Administrative Science Quarterly,Sage Publications,0001-8392	,1930-3815	,1956	,http://asq.sagepub.com/,1503	,A* 
Administrative Theory and Praxis: a quarterly journal of dialogue in public administration theory,Taylor & Francis Online,1084-1806	,1949-0461	,1993	,http://www.tandfonline.com/loi/madt20#.V33kbaKMz3U,1503	,B 
Advances and Applications in Statistics,Pushpa Publishing House,0972-3617	,	,2001	,http://pphmj.com/journals/adas.htm,104	,C 
Advances in Accounting,Elsevier ,0882-6110	,1046-5715	,1984	,http://www.journals.elsevier.com/advances-in-accounting/,1501	,B 
Advances in Accounting Behavioral Research,Emerald Group Publishing,1475-1488	,	,1998	,http://www.emeraldinsight.com/doi/book/10.1108/S1475-1488(2011)14,1501	,B 
Advances in Accounting Education: teaching and curriculum innovations,Emerald Group Publishing,1527-893X	,	,1996	,http://www.worldcat.org/title/advances-in-accounting-education-teaching-and-curriculum-innovations/oclc/783763074,1501	,C 
Advances in Applied Probability,Applied Probability Trust,0001-8678	,1475-6064	,1969	,http://www.appliedprobability.org/,104	,A 
Advances in Consumer Research,Association for Consumer Research,0098-9258	,	,1974	,http://www.acrwebsite.org/,1505	,B 
Advances in Developing Human Resources,Sage Publications,1523-4223	,1552-3055	,2001	,http://www.sagepub.com/,1503	,C 
Advances in Experimental Social Psychology,Elsevier ,0065-2601	,1557-8410	,1964	,http://www.sciencedirect.com/science/journal/00652601,1503	,A* 
Advances in Financial Education,Monash University,1553-9784	,	,2003	,,1502	,B 
Advances in Futures and Options Research,Emerald Group Publishing,1048-1559	,	,1986	,http://www.emeraldgrouppublishing.com/products/books/series.htm?id=1048-1559,1502	,C 
Advances in Hospitality and Leisure,Emerald Group Publishing,1745-3542	,	,2004	,http://www.emeraldinsight.com/products/books/series.htm?id=1745-3542,1504	,C 
Advances in International Management,Emerald Group Publishing,1571-5027	,1571-5027	,1984	,http://www.emeraldinsight.com/,1503	,C 
Advances in International Marketing,Emerald Group Publishing,1474-7979	,	,1986	,http://www.emeraldinsight.com/series/aim,1505	,C 
